Time (t),ATT,Std. Error,CI Lower,CI Upper
1969,0.8708618388456445,5.801830031837366,-10.500725023555592,12.242448701246882
1970,-4.918638706207275,6.469504636724736,-17.598867794187758,7.761590381773207
1971,-7.126126124064132,5.692507970453792,-18.283441746153564,4.031189498025301
1972,-5.317591130475462,5.5148223632600155,-16.12664296246509,5.491460701514168
1973,1.1679393123445057,6.702048780373214,-11.968076297186991,14.303954921876004
1974,0.6207799003237778,6.00832041678199,-11.155528116568922,12.397087917216476
1975,3.8146872020903086,6.321681298665852,-8.575808143294761,16.205182547475378
1976,-1.3957227843148377,9.782856753117137,-20.570122020424428,17.77867645179475
1977,5.029985518682574,8.95655158514071,-12.524855588193217,22.584826625558364
1978,-6.540706791953435,8.474018272968326,-23.149782606971357,10.068369023064484
1979,-2.1828688101793734,11.070460419430129,-23.880971232262425,19.51523361190368
1980,-5.856211993807838,9.083257732229107,-23.659397148976886,11.946973161361212
1981,-1.1014204797290619,8.982215608441436,-18.706563072274275,16.503722112816153
1982,-10.388975678398495,7.62767061958771,-25.339210092790406,4.561258735993416
1983,-6.258907590593614,11.84194285607,-29.469115588490816,16.951300407303584
1984,-1.9624565306163988,9.28169647612068,-20.154581623812934,16.229668562580134
