"event_time","coefficient","std_error","ci_lower","ci_upper","statistic","p.value"
-10,-6.14879097295464,7.71884293624,-21.8188752147346,9.52129326882535,-0.79659490726078,0.431056900653828
-9,-7.31802209691792,6.11581671705255,-19.7337901019323,5.09774590809645,-1.19657315375611,0.239515771539064
-8,-4.43076432353994,5.95758254895203,-16.5252998893733,7.66377124229346,-0.743718494394901,0.462010606285958
-7,-2.7088914095895,5.81936168222754,-14.5228236980359,9.10504087885688,-0.465496313429446,0.644459723965011
-6,-2.13678534568897,4.51397369694791,-11.3006391357764,7.02706844439849,-0.47337124430604,0.638887622333509
-5,-3.7880889344372,3.54517497941998,-10.9851767671924,3.40899889831805,-1.06851959534504,0.292600704834781
-4,-0.61933277507523,2.84065197809605,-6.38616287720803,5.14749732705757,-0.218024868886029,0.828675936403426
-3,-3.13964330270526,2.97557921778526,-9.18039026386806,2.90110365845754,-1.05513685669646,0.298592140565853
-2,-0.654567774239018,2.44491589811721,-5.61801092291207,4.30887537443403,-0.267726090187024,0.790481649960962
-1,0,0,0,0,NA,NA
0,1.20987778204457,2.80317416458736,-4.48086831375076,6.9006238778399,0.431609921826841,0.668672102447018
1,-0.312555120578406,3.44838383559561,-7.31314648487139,6.68803624371458,-0.0906381468768311,0.928296863441324
2,0.765939941380724,4.65840665410147,-8.69112834012483,10.2230082228863,0.164421013074579,0.870345624812241
3,1.89305308775363,3.56739484267732,-5.34914346556498,9.13524964107225,0.530654208809951,0.599009649466279
4,0.501207946880381,4.10254481690285,-7.82740081191644,8.8298167056772,0.122170011358647,0.903463163966972
5,1.56010701561379,4.41693986643658,-7.40675762584412,10.5269716570717,0.353209928771891,0.726049653726001
6,1.03102244468736,5.12757056271949,-9.37849920735254,11.4405440967273,0.201074257696912,0.841804500005838
7,-0.143676052344053,5.41605775701177,-11.1388578447154,10.8515057400273,-0.0265277917610917,0.978987046972263
8,-2.13789901122495,5.16432853855512,-12.6220433214352,8.3462452989853,-0.41397424568637,0.681418946717389
9,-0.327293373302735,5.18555315141917,-10.8545259383623,10.1999391917569,-0.06311638580219,0.950032915912398
10,-3.40906752300842,5.93251225883594,-15.4527076941136,8.63457264809678,-0.574641462886304,0.569209306323248
